iter	Passed	Remaining
799	2044	511
800	2046	508
801	2048	505
802	2049	502
803	2051	500
804	2055	497
805	2073	499
806	2075	496
807	2077	493
808	2079	490
809	2081	488
810	2083	485
811	2085	482
812	2087	480
813	2090	477
814	2092	474
815	2094	472
816	2096	469
817	2098	466
818	2101	464
819	2103	461
820	2106	459
821	2108	456
822	2110	453
823	2112	451
824	2134	452
825	2136	449
826	2138	447
827	2140	444
828	2141	441
829	2143	439
830	2145	436
831	2148	433
832	2151	431
833	2153	428
834	2155	425
835	2157	423
836	2159	420
837	2160	417
838	2164	415
839	2166	412
840	2168	409
841	2172	407
842	2174	405
843	2176	402
844	2180	399
845	2182	397
846	2184	394
847	2186	391
848	2188	389
849	2190	386
850	2192	383
851	2194	381
852	2197	378
853	2199	375
854	2200	373
855	2202	370
856	2211	369
857	2214	366
858	2216	363
859	2218	361
860	2220	358
861	2222	355
862	2225	353
863	2227	350
864	2229	347
865	2231	345
866	2233	342
867	2235	339
868	2237	337
869	2239	334
870	2243	332
871	2244	329
872	2246	326
873	2250	324
874	2252	321
875	2254	319
876	2257	316
877	2259	314
878	2262	311
879	2264	308
880	2266	306
881	2268	303
882	2269	300
883	2273	298
884	2276	295
885	2277	293
886	2280	290
887	2282	287
888	2284	285
889	2288	282
890	2290	280
891	2292	277
892	2294	274
893	2296	272
894	2298	269
895	2300	267
896	2304	264
897	2307	262
898	2309	259
899	2311	256
900	2313	254
901	2315	251
902	2319	249
903	2321	246
904	2323	243
905	2325	241
906	2328	238
907	2330	236
908	2332	233
909	2336	231
910	2338	228
911	2340	225
912	2342	223
913	2344	220
914	2346	217
915	2348	215
916	2351	212
917	2353	210
918	2355	207
919	2357	204
920	2359	202
921	2361	199
922	2363	197
923	2366	194
924	2368	192
925	2370	189
926	2373	186
927	2375	184
928	2376	181
929	2378	179
930	2382	176
931	2384	173
932	2386	171
933	2388	168
934	2390	166
935	2392	163
936	2394	160
937	2397	158
938	2399	155
939	2401	153
940	2403	150
941	2405	148
942	2408	145
943	2409	142
944	2413	140
945	2415	137
946	2417	135
947	2419	132
948	2421	130
949	2423	127
950	2425	124
951	2428	122
952	2430	119
953	2432	117
954	2434	114
955	2436	112
956	2438	109
957	2439	106
958	2443	104
959	2445	101
960	2447	99
961	2449	96
962	2451	94
963	2453	91
964	2455	89
965	2459	86
966	2461	83
967	2463	81
968	2465	78
969	2467	76
970	2469	73
971	2471	71
972	2474	68
973	2477	66
974	2479	63
975	2481	61
976	2483	58
977	2484	55
978	2486	53
979	2490	50
980	2492	48
981	2494	45
982	2496	43
983	2498	40
984	2500	38
985	2502	35
986	2506	33
987	2509	30
988	2510	27
989	2512	25
990	2514	22
991	2516	20
992	2518	17
993	2521	15
994	2523	12
995	2525	10
996	2527	7
997	2532	5
998	2536	2
999	2538	0
